Source;Target;Weight
5431000;87304;1
10843591;87304;1
12498238;87304;1
15405165;87304;1
44414570;87304;1
1964069;199823;1
2325879;199823;1
6617744;297772;1
8239199;297772;1
17227606;297772;1
34918066;297772;1
23289778;351769;1
41065261;375901;2
23863638;459957;1
29003178;459957;1
7969033;488820;1
8646924;488820;1
25225350;488820;1
31519216;488820;1
35163026;488820;1
50472272;488820;1
25225350;488844;1
8646925;495734;1
9516648;495734;1
23890225;495734;1
44984729;495734;1
48121852;561597;1
49804602;561597;2
43912302;587051;1
45323422;587051;1
2721613;598018;2
4128208;598018;1
9557261;598018;3
11487785;598018;1
15759311;598018;1
19517070;598018;1
20156323;598018;2
42452854;598018;1
7847213;612732;1
25588388;612732;1
19679953;709049;1
35461633;709049;1
42761296;709049;1
1023857;749127;1
11146971;749127;1
18939563;749127;1
10095812;779196;1
21558751;779196;2
44972071;779196;2
8620269;779669;1
16020022;779669;1
22963313;779669;1
30980087;779669;1
33764775;779669;1
43912302;779669;1
8294253;805693;1
14055009;805693;1
28579913;805693;1
43525927;805693;1
5534462;814018;2
10136288;814018;2
40132305;814018;1
41041437;814018;2
13112915;823759;2
14600871;823759;2
16652969;928220;1
42761298;928220;1
10843593;969535;1
13100230;969535;3
13112915;969535;3
14600871;969535;3
14926442;969535;1
14929638;969535;1
15405165;969535;1
15573442;969535;1
18473715;969535;3
27300204;969535;1
28187182;969535;3
31130137;969535;1
36030110;969535;3
38019649;969535;3
43564204;969535;3
47259127;969535;1
21460748;979453;1
41010788;979453;1
7847213;1010450;3
12100688;1010450;6
14485170;1010450;1
19882354;1010450;6
25706166;1010450;1
34982892;1010450;1
43383961;1010450;4
749127;1023857;1
11146971;1023857;1
18939563;1023857;1
3379361;1051796;4
7847672;1051796;3
8564538;1051796;1
12391891;1051796;5
25483199;1051796;5
25546605;1051796;1
46337908;1051796;2
49804602;1051796;1
50961064;1051796;2
6647301;1149569;8
26503031;1149569;1
27341417;1149569;5
37607456;1149569;2
51499432;1149569;7
20760547;1176303;1
21831517;1176303;4
47041330;1176303;2
47974333;1176303;2
51531983;1176303;3
16527207;1285728;2
19178325;1285728;3
47041330;1285728;3
17835781;1296328;1
19195734;1296328;1
33326481;1296328;1
42103349;1296328;1
13675907;1404557;2
41571458;1404557;2
47058525;1404557;1
11110297;1434983;1
31692725;1434983;1
39380681;1434983;1
48757934;1434983;1
12093333;1478446;5
20356823;1478446;1
25632025;1478446;1
30198941;1478446;6
30611292;1478446;14
34147741;1478446;1
40994916;1478446;4
9557261;1535769;1
10471826;1600218;2
17452215;1600218;3
33326481;1600218;1
35461633;1600218;2
38231440;1600218;1
49804602;1600218;1
3039442;1791959;1
4265816;1791959;1
7665956;1791959;2
7854486;1791959;1
8745592;1791959;1
11516994;1791959;3
12860515;1791959;1
13723858;1791959;1
18116337;1791959;2
22195484;1791959;2
25794676;1791959;2
27237804;1791959;1
28472873;1791959;2
30084098;1791959;6
33072551;1791959;2
40972778;1791959;1
44522359;1791959;2
45096299;1791959;1
48811338;1791959;2
49392368;1791959;1
50502462;1791959;3
3099406;1867853;1
12093333;1867853;1
36399344;1867853;1
38231440;1897714;1
41136578;1897714;1
41453445;1897714;1
32966959;1961072;1
37263995;1961072;1
199823;1964069;1
2325879;1964069;1
3928429;1964069;1
4151183;1964069;4
10957621;1964069;1
22905588;1964069;2
26989326;1964069;1
29130759;1964069;1
29164206;1964069;1
30868637;1964069;1
34196862;1964069;1
37479635;1964069;6
38196826;1964069;1
38991156;1964069;3
39129668;1964069;4
39684338;1964069;1
41864666;1964069;1
47309165;1964069;1
48413578;1964069;3
51285527;1964069;1
6518850;2174139;1
7847672;2174139;1
32853064;2174139;1
44509491;2174139;1
46379742;2174139;1
28472873;2253960;1
42122548;2253960;1
45138641;2253960;2
48811338;2253960;1
49131445;2253960;1
12093333;2263878;1
30611292;2263878;1
32594078;2263878;1
199823;2325879;1
1964069;2325879;1
21577092;2353618;1
31965149;2353618;1
43645248;2353618;1
12223530;2382511;1
23465562;2382511;1
15642184;2391509;1
27810395;2398006;2
32762861;2398006;2
43677091;2398006;1
12100688;2479649;1
25706166;2479649;1
46602081;2479649;1
14582031;2558746;1
43972767;2558746;1
8268010;2580732;1
8379715;2580732;1
25995175;2580732;1
34235948;2580732;1
35534987;2580732;1
12169030;2581430;1
31965149;2581430;1
32986714;2581430;1
43337026;2581430;1
6835359;2660483;1
9557261;2660483;1
13246097;2660483;1
26041806;2660483;1
28469491;2660483;1
598018;2721613;2
9557261;2721613;2
20156323;2721613;2
1791959;3039442;1
11516994;3039442;1
13675907;3056605;1
22371030;3056605;1
26587299;3056605;1
40241868;3056605;1
41571458;3056605;1
41720858;3056605;1
42031685;3056605;1
1867853;3099406;1
5885514;3099406;2
6371474;3099406;1
7134753;3099406;1
12093333;3099406;7
19452145;3099406;3
25642450;3099406;1
33262379;3099406;1
35461633;3099406;3
36399344;3099406;1
39141747;3099406;1
39758190;3099406;1
42761296;3099406;3
4382039;3159874;1
17452215;3159874;2
19178325;3159874;1
33326481;3159874;4
38222341;3159874;2
38676668;3159874;2
47041330;3159874;1
15836872;3212044;1
17105782;3212044;1
31259881;3212044;1
3740076;3253446;1
16730170;3327157;1
1051796;3379361;4
7847672;3379361;3
12391891;3379361;4
25483199;3379361;4
46337908;3379361;2
50961064;3379361;2
6050550;3410832;3
7545493;3410832;3
8098780;3410832;2
25931002;3410832;1
31587716;3410832;3
32275860;3410832;3
32804293;3410832;2
35196705;3410832;1
38889827;3410832;1
41041437;3410832;1
42611150;3410832;1
50724152;3410832;2
6647301;3563111;1
27341417;3563111;1
40202553;3563111;1
47840748;3567062;1
14696334;3642687;1
17871960;3642687;1
3253446;3740076;1
6647301;3740076;1
11958649;3740076;1
13653577;3740076;1
24181624;3740076;1
27341417;3740076;10
30490622;3740076;1
31835654;3740076;1
35333883;3740076;1
36829968;3740076;3
37607456;3740076;5
43131812;3740076;3
49040179;3740076;1
27258780;3743770;1
5534462;3751170;1
10136288;3751170;1
41041437;3751170;1
51286000;3751170;1
6662121;3794595;1
10230824;3809439;1
14750093;3809439;3
35057144;3809439;1
1964069;3928429;1
34196862;3928429;1
18044400;4012920;1
31677267;4012920;1
14504178;4104924;1
598018;4128208;1
15759311;4128208;1
9809510;4143208;1
18836939;4143208;3
22122362;4143208;2
28472873;4143208;2
40895831;4143208;1
41141105;4143208;3
42103349;4143208;4
45866178;4143208;1
48697957;4143208;1
1964069;4151183;4
38991156;4151183;3
1791959;4265816;1
18116337;4265816;1
28472873;4265816;1
48811338;4265816;1
50502462;4265816;1
13704505;4381090;1
20915824;4381090;1
3159874;4382039;1
16527207;4382039;1
19178325;4382039;3
47041330;4382039;3
49804602;4429074;1
28635641;4518146;1
39988957;4518146;1
29003178;4633414;1
31955594;4633414;1
19693802;4641931;1
30819069;4641931;1
32511540;4641931;2
39331732;4641931;1
8969471;4649772;1
14966817;4649772;1
24640067;4649772;1
29345128;4649772;1
36752911;4649772;1
42766465;4726853;2
11497323;4778297;4
11958649;4778297;1
17317841;4778297;2
27341417;4778297;5
43204348;4778297;1
47923964;4778297;1
48121852;4778297;1
49804602;4778297;2
5556380;4842134;1
7635344;4842134;1
16625972;4842134;1
49687532;4842134;1
14476281;4914576;1
20859835;4914576;1
22371030;4914576;1
26587299;4914576;1
43658252;4914576;1
38231440;5076066;1
43204348;5076066;1
47347399;5076066;1
49804602;5076066;1
12409125;5088948;1
24225986;5088948;2
38529012;5088948;1
41041437;5088948;2
21558751;5155657;1
44972071;5155657;1
41897041;5184126;1
43204348;5184126;1
49804602;5184126;1
7969033;5206860;1
30803403;5206860;1
34646023;5206860;1
41041437;5206860;1
13112915;5252009;1
14600871;5252009;1
47838292;5292666;1
33326481;5326718;1
87304;5431000;1
10843591;5431000;1
12498238;5431000;1
15405165;5431000;1
44414570;5431000;1
6136225;5437202;1
7047261;5437202;1
7088878;5437202;1
13891528;5437202;1
26985784;5437202;1
42012841;5437202;1
42562048;5437202;1
48503861;5437202;1
49120002;5437202;1
814018;5534462;2
3751170;5534462;1
10136288;5534462;3
20751850;5534462;1
40132305;5534462;1
41041437;5534462;5
51286000;5534462;1
37481288;5542836;4
4842134;5556380;1
49687532;5556380;1
15019363;5863880;1
48243429;5863880;2
3099406;5885514;2
6371474;5885514;1
19452145;5885514;3
25642450;5885514;1
31965149;5885514;1
33262379;5885514;1
35461633;5885514;3
39758190;5885514;1
42761296;5885514;3
3410832;6050550;3
7545493;6050550;1
8098780;6050550;1
32275860;6050550;2
32804293;6050550;1
35196705;6050550;1
41041437;6050550;1
42611150;6050550;1
5437202;6136225;1
7047261;6136225;2
7088878;6136225;1
13891528;6136225;1
26985784;6136225;1
42012841;6136225;1
42126767;6136225;1
42562048;6136225;1
48503861;6136225;1
49120002;6136225;2
8014871;6194746;1
10365531;6194746;1
12100688;6194746;1
19311742;6194746;1
23254357;6194746;1
36230764;6194746;1
43581697;6194746;1
47814375;6194746;1
15565627;6210815;1
16949651;6210815;1
20894082;6220523;1
24575966;6220523;8
27341417;6220523;3
29211362;6220523;1
38022562;6220523;1
48121852;6220523;1
31375060;6227121;1
36535296;6227121;1
37508293;6227121;1
41041437;6227121;1
41891244;6227121;1
42372900;6227121;1
50472272;6227121;1
22977241;6275844;1
36597913;6275844;1
10843591;6307652;1
15217753;6307652;1
26907065;6307652;1
32104971;6307652;1
34464951;6307652;1
38019649;6307652;1
48407701;6307652;1
3099406;6371474;1
5885514;6371474;1
19391288;6371474;1
19452145;6371474;1
35461633;6371474;5
42761296;6371474;1
49956797;6371474;1
6647301;6480333;1
17317841;6480333;1
51499432;6480333;1
2174139;6518850;1
7847672;6518850;2
32853064;6518850;2
41918777;6518850;1
44509491;6518850;2
46379742;6518850;2
7847213;6557623;1
19122405;6557623;1
20915160;6557623;1
27770935;6557623;1
29132348;6557623;1
30891085;6557623;2
33642640;6557623;1
48066140;6557623;1
8830438;6617726;1
19093609;6617726;1
19109311;6617726;1
29214081;6617726;1
42552060;6617726;1
45953173;6617726;1
297772;6617744;1
8239199;6617744;1
17227606;6617744;1
34918066;6617744;1
1149569;6647301;8
3563111;6647301;1
3740076;6647301;1
6480333;6647301;1
11958649;6647301;1
12169030;6647301;1
12876959;6647301;1
17317841;6647301;1
21325318;6647301;1
26503031;6647301;1
27341417;6647301;10
30490622;6647301;1
37607456;6647301;7
40202553;6647301;3
42106463;6647301;1
44990825;6647301;1
51499432;6647301;13
3794595;6662121;1
24513976;6732749;1
7039531;6788652;1
8758659;6788652;1
14099874;6788652;1
15174543;6788652;1
36402444;6788652;1
46004250;6788652;1
23045667;6822124;7
27374049;6822124;1
28472873;6822124;4
2660483;6835359;1
9557261;6835359;1
13246097;6835359;1
26041806;6835359;2
28469491;6835359;1
28105102;6897220;9
32986714;6897220;1
35461633;6897220;9
38231440;6897220;1
43731441;6897220;1
45516835;6897220;4
33023652;6911773;2
6788652;7039531;1
8758659;7039531;1
14099874;7039531;1
15174543;7039531;1
36402444;7039531;1
46004250;7039531;1
5437202;7047261;1
6136225;7047261;2
7088878;7047261;1
13891528;7047261;1
26985784;7047261;1
42012841;7047261;1
42126767;7047261;1
42562048;7047261;1
48503861;7047261;1
49120002;7047261;2
5437202;7088878;1
6136225;7088878;1
7047261;7088878;1
13891528;7088878;1
26985784;7088878;1
42012841;7088878;1
42562048;7088878;1
48503861;7088878;1
49120002;7088878;1
31990531;7107233;4
32687497;7107233;1
34184386;7107233;2
35601791;7107233;1
39988957;7107233;4
48432086;7107233;1
20435115;7129942;1
24575966;7129942;1
3099406;7134753;1
12093333;7134753;1
20066160;7445447;1
31237542;7445447;1
15759311;7504402;1
7847213;7513974;1
20915160;7513974;1
27770935;7513974;1
33642640;7513974;1
3410832;7545493;3
6050550;7545493;1
8098780;7545493;1
31587716;7545493;2
32275860;7545493;1
32804293;7545493;1
29211362;7561968;1
14423923;7594511;1
18665402;7594511;7
21494166;7594511;1
23045123;7594511;1
27699036;7594511;3
45833557;7594511;3
12100688;7598474;8
15646529;7598474;1
25706166;7598474;1
46602081;7598474;3
46790804;7598474;7
48726014;7598474;1
13705038;7603397;1
44479017;7603397;1
49667549;7603397;1
4842134;7635344;1
16625972;7635344;1
43204348;7636146;1
1791959;7665956;2
8745592;7665956;1
30084098;7665956;2
33072551;7665956;2
40972778;7665956;1
612732;7847213;1
1010450;7847213;3
6557623;7847213;1
7513974;7847213;1
9657725;7847213;2
10843591;7847213;2
11840652;7847213;1
12100688;7847213;13
12498238;7847213;1
16010940;7847213;2
17687800;7847213;2
17709220;7847213;1
19122405;7847213;19
19307792;7847213;1
19882354;7847213;3
20915160;7847213;9
25588388;7847213;2
25706166;7847213;8
27770935;7847213;8
30891085;7847213;1
31484037;7847213;12
33642640;7847213;9
34074374;7847213;1
34982892;7847213;2
35386223;7847213;5
39453798;7847213;1
43204348;7847213;1
43276008;7847213;1
43383961;7847213;3
46268944;7847213;5
46602081;7847213;9
48066140;7847213;2
51085575;7847213;17
1051796;7847672;3
2174139;7847672;1
3379361;7847672;3
6518850;7847672;2
12391891;7847672;3
25483199;7847672;3
32853064;7847672;2
41918777;7847672;1
44509491;7847672;2
46337908;7847672;2
46379742;7847672;2
50961064;7847672;1
1791959;7854486;1
30084098;7854486;1
45096299;7854486;1
49392368;7854486;1
488820;7969033;1
5206860;7969033;1
8646924;7969033;1
17901713;7969033;2
18045946;7969033;1
25225350;7969033;1
27797291;7969033;1
30797738;7969033;1
30801311;7969033;1
30803403;7969033;1
31519216;7969033;3
34646023;7969033;2
35163026;7969033;3
35603451;7969033;1
39943633;7969033;3
41041437;7969033;2
47422165;7969033;1
48584251;7969033;3
50472272;7969033;2
6194746;8014871;1
9756125;8014871;5
10038459;8014871;3
10365531;8014871;1
10591688;8014871;1
12100688;8014871;3
14827273;8014871;1
17977947;8014871;2
19311742;8014871;1
20079192;8014871;1
20478332;8014871;1
23121689;8014871;1
23254357;8014871;1
28482485;8014871;3
30802149;8014871;1
31029316;8014871;2
34348001;8014871;2
36230764;8014871;1
41462525;8014871;1
43353706;8014871;8
43581697;8014871;1
43848023;8014871;7
45300596;8014871;6
47814375;8014871;1
3410832;8098780;2
6050550;8098780;1
7545493;8098780;1
32275860;8098780;2
32804293;8098780;2
50724152;8098780;1
21577092;8208496;1
35461633;8208496;1
35665306;8208496;1
43912302;8212399;1
45323422;8212399;1
297772;8239199;1
6617744;8239199;1
17227606;8239199;1
34918066;8239199;1
2580732;8268010;1
8379715;8268010;1
25995175;8268010;1
34235948;8268010;1
35534987;8268010;1
805693;8294253;1
14055009;8294253;1
23465562;8294253;1
28579913;8294253;2
43525927;8294253;1
11056427;8312560;1
38231440;8312560;1
2580732;8379715;1
8268010;8379715;1
25995175;8379715;1
34235948;8379715;1
35534987;8379715;1
27639999;8448018;1
27756947;8448018;1
1051796;8564538;1
49804602;8564538;1
779669;8620269;1
16020022;8620269;1
22963313;8620269;1
30980087;8620269;1
33764775;8620269;1
43912302;8620269;1
18159922;8637313;1
17477817;8645676;1
23860647;8645676;1
24284991;8645676;1
34646023;8645676;1
41041437;8645676;2
488820;8646924;1
7969033;8646924;1
25225350;8646924;1
31519216;8646924;1
35163026;8646924;1
50472272;8646924;1
495734;8646925;1
9516648;8646925;1
23890225;8646925;1
44984729;8646925;1
23605082;8658600;1
35461633;8658600;1
42761296;8658600;1
1791959;8745592;1
7665956;8745592;1
30084098;8745592;1
33072551;8745592;1
6788652;8758659;1
7039531;8758659;1
14099874;8758659;1
15174543;8758659;2
36402444;8758659;1
46004250;8758659;1
6617726;8830438;1
19093609;8830438;1
19109311;8830438;1
29214081;8830438;1
42552060;8830438;1
45953173;8830438;1
21577092;8839888;1
23522193;8839888;1
30168359;8839888;1
35665306;8839888;1
11525444;8924600;2
24099713;8924600;2
4649772;8969471;1
29345128;8969471;1
36752911;8969471;1
30821579;9026626;1
37074412;9026626;1
43581697;9026626;1
30821579;9048776;1
37074412;9048776;1
43581697;9048776;1
14128191;9071613;1
15997915;9071613;1
21750793;9124724;4
31536734;9124724;4
41596314;9124724;1
9358508;9155250;1
16316013;9155250;4
20466784;9155250;1
43972767;9155250;1
41041437;9252658;1
13364635;9354408;1
28992487;9354408;1
9155250;9358508;1
16316013;9358508;1
43972767;9358508;1
30868637;9379907;1
31536734;9379907;1
15542924;9423794;2
26287660;9423794;1
34542243;9423794;1
37736856;9423794;1
38019649;9423794;9
495734;9516648;1
8646925;9516648;1
23890225;9516648;1
44984729;9516648;1
598018;9557261;3
1535769;9557261;1
2660483;9557261;1
2721613;9557261;2
6835359;9557261;1
11487785;9557261;1
12734636;9557261;1
13246097;9557261;1
16441789;9557261;1
17105782;9557261;1
19517070;9557261;1
20156323;9557261;2
26041806;9557261;1
28469491;9557261;1
31259881;9557261;1
35861256;9557261;1
42452854;9557261;1
50246434;9557261;1
10843591;9574144;1
11567456;9574144;1
22856358;9574144;5
26112590;9574144;1
26626573;9574144;1
27201749;9574144;6
27341417;9595364;1
44183907;9595364;1
7847213;9657725;2
10170758;9657725;1
10843591;9657725;6
11461291;9657725;2
11840652;9657725;1
12498238;9657725;4
12663027;9657725;2
16182999;9657725;1
19307792;9657725;1
21694735;9657725;1
21700594;9657725;1
30225958;9657725;1
33440320;9657725;1
37273577;9657725;1
38019649;9657725;2
39453798;9657725;1
46268944;9657725;2
47531681;9657725;2
8014871;9756125;5
21577092;9791853;1
24575966;9791853;1
28472873;9797792;1
40895831;9797792;1
42103349;9797792;1
4143208;9809510;1
18836939;9809510;1
28472873;9809510;1
40895831;9809510;1
41141105;9809510;1
42103349;9809510;1
45866178;9809510;1
48697957;9809510;1
8014871;10038459;3
23121689;10038459;1
41462525;10038459;1
43848023;10038459;1
45300596;10038459;1
779196;10095812;1
21558751;10095812;1
44972071;10095812;1
814018;10136288;2
3751170;10136288;1
5534462;10136288;3
40132305;10136288;1
41041437;10136288;3
51286000;10136288;1
14884926;10137301;4
15642184;10137301;5
38362368;10137301;2
9657725;10170758;1
30225958;10170758;1
33440320;10170758;1
17681436;10173117;1
18883289;10204755;1
34170273;10204755;1
48084433;10204755;1
3809439;10230824;1
14750093;10230824;4
35057144;10230824;1
43867070;10230824;1
12392841;10361078;1
6194746;10365531;1
8014871;10365531;1
12100688;10365531;1
19311742;10365531;1
23254357;10365531;1
36230764;10365531;1
43581697;10365531;1
47814375;10365531;1
1600218;10471826;2
15759747;10471826;1
17452215;10471826;5
33326481;10471826;3
35461633;10471826;1
38736775;10471826;1
13004190;10590869;2
22371030;10590869;2
26587299;10590869;2
30980088;10590869;1
41571458;10590869;1
8014871;10591688;1
12100688;10591688;1
34348001;10591688;1
43353706;10591688;1
23465562;10631401;1
27341417;10631401;1
87304;10843591;1
5431000;10843591;1
6307652;10843591;1
7847213;10843591;2
9574144;10843591;1
9657725;10843591;6
11461291;10843591;3
11840652;10843591;1
12100688;10843591;1
12498238;10843591;4
12605870;10843591;1
15217753;10843591;1
15405165;10843591;1
16182999;10843591;1
19307792;10843591;2
21694735;10843591;1
21700594;10843591;1
22856358;10843591;1
26626573;10843591;1
26907065;10843591;1
27201749;10843591;2
32104971;10843591;1
34464951;10843591;1
37273577;10843591;3
38019649;10843591;4
39453798;10843591;2
42552063;10843591;1
44414570;10843591;1
46268944;10843591;2
48407701;10843591;1
48932102;10843591;1
969535;10843593;1
13100230;10843593;1
43564204;10843593;1
1964069;10957621;1
48819557;10980695;1
17565529;10988421;3
8312560;11056427;1
38231440;11056427;1
16918264;11078826;1
23522193;11078826;1
31466272;11078826;1
40783664;11078826;1
1434983;11110297;1
17861922;11110297;1
18473715;11110297;1
28903312;11110297;3
29554109;11110297;1
31692725;11110297;4
35325665;11110297;2
39380681;11110297;1
48757934;11110297;1
50496110;11110297;1
51272842;11110297;1
749127;11146971;1
1023857;11146971;1
18939563;11146971;1
15563742;11196078;1
41906787;11196078;1
27341417;11222493;2
37607456;11222493;2
9657725;11461291;2
10843591;11461291;3
16182999;11461291;1
21694735;11461291;1
21700594;11461291;1
37273577;11461291;2
38019649;11461291;3
42552063;11461291;1
48932102;11461291;1
598018;11487785;1
9557261;11487785;1
19517070;11487785;1
42452854;11487785;1
4778297;11497323;4
11958649;11497323;1
17223604;11497323;2
18892175;11497323;1
27341417;11497323;16
31206330;11497323;1
37773920;11497323;4
47347399;11497323;1
48121852;11497323;5
1791959;11516994;3
3039442;11516994;1
12860515;11516994;1
13723858;11516994;1
22195484;11516994;2
25794676;11516994;2
30084098;11516994;3
31181459;11516994;1
33072551;11516994;1
44522359;11516994;2
48811338;11516994;1
50502462;11516994;1
8924600;11525444;2
24099713;11525444;2
9574144;11567456;1
22856358;11567456;1
27201749;11567456;1
44157686;11646672;2
31040298;11657548;1
42761296;11657548;1
7847213;11840652;1
9657725;11840652;1
10843591;11840652;1
19307792;11840652;1
39453798;11840652;1
46268944;11840652;1
19098157;11887013;1
43328035;11887013;1
3740076;11958649;1
4778297;11958649;1
6647301;11958649;1
11497323;11958649;1
27341417;11958649;2
37607456;11958649;2
44990825;11958649;1
50878575;11958649;1
51499432;11958649;1
34646023;11969916;1
41041437;11969916;1
19178325;11972142;1
19195734;11972142;5
27980307;11972142;1
44970306;11972142;1
47041330;11972142;1
1478446;12093333;5
1867853;12093333;1
2263878;12093333;1
3099406;12093333;7
7134753;12093333;1
12942755;12093333;1
15615771;12093333;1
17003946;12093333;2
17052533;12093333;1
19307225;12093333;1
19620098;12093333;2
20356823;12093333;4
20720471;12093333;2
21317769;12093333;1
24062002;12093333;1
25632025;12093333;3
26371071;12093333;1
30198941;12093333;4
30611292;12093333;13
32594078;12093333;1
35461633;12093333;1
36399344;12093333;1
37447810;12093333;2
37694882;12093333;1
39141747;12093333;1
40994916;12093333;5
42761296;12093333;1
45336842;12093333;1
48429558;12093333;1
1010450;12100688;6
2479649;12100688;1
6194746;12100688;1
7598474;12100688;8
7847213;12100688;13
8014871;12100688;3
10365531;12100688;1
10591688;12100688;1
10843591;12100688;1
12605870;12100688;1
14485170;12100688;1
15646529;12100688;1
19122405;12100688;1
19311742;12100688;1
19882354;12100688;6
20915160;12100688;2
23254357;12100688;1
25706166;12100688;17
26098778;12100688;4
27770935;12100688;2
28555855;12100688;1
30891085;12100688;4
33642640;12100688;2
34348001;12100688;1
34982892;12100688;7
36230764;12100688;3
37273577;12100688;1
37926710;12100688;1
43353706;12100688;1
43383961;12100688;4
43581697;12100688;1
44904659;12100688;1
46044303;12100688;4
46602081;12100688;20
46790804;12100688;8
47814375;12100688;1
48066140;12100688;1
48726014;12100688;1
32787573;12107290;2
37607456;12107290;2
41936365;12107290;2
50577583;12107290;1
19178325;12112459;1
47041330;12112459;1
2581430;12169030;1
6647301;12169030;1
18519235;12169030;1
21325318;12169030;1
23522193;12169030;1
24062002;12169030;1
25369911;12169030;1
28975122;12169030;1
31965149;12169030;1
32762861;12169030;1
32986714;12169030;2
35461633;12169030;1
35665306;12169030;4
43337026;12169030;1
47288421;12169030;2
2382511;12223530;1
23465562;12223530;1
17655386;12238123;1
13794609;12355852;1
17452215;12355852;1
25594480;12355852;1
42842598;12355852;1
13404745;12368144;1
25499637;12368144;1
1051796;12391891;5
3379361;12391891;4
7847672;12391891;3
25483199;12391891;5
25546605;12391891;1
46337908;12391891;2
50961064;12391891;2
10361078;12392841;1
5088948;12409125;1
24225986;12409125;1
38529012;12409125;1
41041437;12409125;1
87304;12498238;1
5431000;12498238;1
7847213;12498238;1
9657725;12498238;4
10843591;12498238;4
15405165;12498238;1
44414570;12498238;1
46268944;12498238;1
10843591;12605870;1
12100688;12605870;1
37273577;12605870;1
9657725;12663027;2
47531681;12663027;2
19391288;12691945;3
21577092;12691945;1
23522193;12691945;1
27667334;12691945;1
32712961;12691945;1
35461633;12691945;1
41436222;12691945;1
44316746;12691945;1
49065650;12691945;1
9557261;12734636;1
16441789;12734636;1
17105782;12734636;1
31259881;12734636;1
35861256;12734636;1
50246434;12734636;1
35665306;12774287;1
15445615;12832681;2
27341417;12832681;1
37607456;12832681;2
49827539;12832681;1
50878575;12832681;1
1791959;12860515;1
11516994;12860515;1
13723858;12860515;1
22195484;12860515;1
25794676;12860515;1
30084098;12860515;1
44522359;12860515;1
6647301;12876959;1
37607456;12876959;1
44990825;12876959;1
51499432;12876959;1
12093333;12942755;1
30611292;12942755;1
35461633;12942755;1
42761296;12942755;1
10590869;13004190;2
22371030;13004190;2
26587299;13004190;3
30980088;13004190;1
41571458;13004190;2
969535;13100230;3
